Image Name,Image Address,Rotation Angle
augmented_-90_10054.jpg,./augmented\augmented_-90_10054.jpg,-90
augmented_-85_10054.jpg,./augmented\augmented_-85_10054.jpg,-85
augmented_-80_10054.jpg,./augmented\augmented_-80_10054.jpg,-80
augmented_-75_10054.jpg,./augmented\augmented_-75_10054.jpg,-75
augmented_-70_10054.jpg,./augmented\augmented_-70_10054.jpg,-70
augmented_-65_10054.jpg,./augmented\augmented_-65_10054.jpg,-65
augmented_-60_10054.jpg,./augmented\augmented_-60_10054.jpg,-60
augmented_-55_10054.jpg,./augmented\augmented_-55_10054.jpg,-55
augmented_-50_10054.jpg,./augmented\augmented_-50_10054.jpg,-50
augmented_-45_10054.jpg,./augmented\augmented_-45_10054.jpg,-45
augmented_-40_10054.jpg,./augmented\augmented_-40_10054.jpg,-40
augmented_-35_10054.jpg,./augmented\augmented_-35_10054.jpg,-35
augmented_-30_10054.jpg,./augmented\augmented_-30_10054.jpg,-30
augmented_-25_10054.jpg,./augmented\augmented_-25_10054.jpg,-25
augmented_-20_10054.jpg,./augmented\augmented_-20_10054.jpg,-20
augmented_-15_10054.jpg,./augmented\augmented_-15_10054.jpg,-15
augmented_-10_10054.jpg,./augmented\augmented_-10_10054.jpg,-10
augmented_-5_10054.jpg,./augmented\augmented_-5_10054.jpg,-5
augmented_0_10054.jpg,./augmented\augmented_0_10054.jpg,0
augmented_5_10054.jpg,./augmented\augmented_5_10054.jpg,5
augmented_10_10054.jpg,./augmented\augmented_10_10054.jpg,10
augmented_15_10054.jpg,./augmented\augmented_15_10054.jpg,15
augmented_20_10054.jpg,./augmented\augmented_20_10054.jpg,20
augmented_25_10054.jpg,./augmented\augmented_25_10054.jpg,25
augmented_30_10054.jpg,./augmented\augmented_30_10054.jpg,30
augmented_35_10054.jpg,./augmented\augmented_35_10054.jpg,35
augmented_40_10054.jpg,./augmented\augmented_40_10054.jpg,40
augmented_45_10054.jpg,./augmented\augmented_45_10054.jpg,45
augmented_50_10054.jpg,./augmented\augmented_50_10054.jpg,50
augmented_55_10054.jpg,./augmented\augmented_55_10054.jpg,55
augmented_60_10054.jpg,./augmented\augmented_60_10054.jpg,60
augmented_65_10054.jpg,./augmented\augmented_65_10054.jpg,65
augmented_70_10054.jpg,./augmented\augmented_70_10054.jpg,70
augmented_75_10054.jpg,./augmented\augmented_75_10054.jpg,75
augmented_80_10054.jpg,./augmented\augmented_80_10054.jpg,80
augmented_85_10054.jpg,./augmented\augmented_85_10054.jpg,85
augmented_90_10054.jpg,./augmented\augmented_90_10054.jpg,90
augmented_-90_10649.jpg,./augmented\augmented_-90_10649.jpg,-90
augmented_-85_10649.jpg,./augmented\augmented_-85_10649.jpg,-85
augmented_-80_10649.jpg,./augmented\augmented_-80_10649.jpg,-80
augmented_-75_10649.jpg,./augmented\augmented_-75_10649.jpg,-75
augmented_-70_10649.jpg,./augmented\augmented_-70_10649.jpg,-70
augmented_-65_10649.jpg,./augmented\augmented_-65_10649.jpg,-65
augmented_-60_10649.jpg,./augmented\augmented_-60_10649.jpg,-60
augmented_-55_10649.jpg,./augmented\augmented_-55_10649.jpg,-55
augmented_-50_10649.jpg,./augmented\augmented_-50_10649.jpg,-50
augmented_-45_10649.jpg,./augmented\augmented_-45_10649.jpg,-45
augmented_-40_10649.jpg,./augmented\augmented_-40_10649.jpg,-40
augmented_-35_10649.jpg,./augmented\augmented_-35_10649.jpg,-35
augmented_-30_10649.jpg,./augmented\augmented_-30_10649.jpg,-30
augmented_-25_10649.jpg,./augmented\augmented_-25_10649.jpg,-25
augmented_-20_10649.jpg,./augmented\augmented_-20_10649.jpg,-20
augmented_-15_10649.jpg,./augmented\augmented_-15_10649.jpg,-15
augmented_-10_10649.jpg,./augmented\augmented_-10_10649.jpg,-10
augmented_-5_10649.jpg,./augmented\augmented_-5_10649.jpg,-5
augmented_0_10649.jpg,./augmented\augmented_0_10649.jpg,0
augmented_5_10649.jpg,./augmented\augmented_5_10649.jpg,5
augmented_10_10649.jpg,./augmented\augmented_10_10649.jpg,10
augmented_15_10649.jpg,./augmented\augmented_15_10649.jpg,15
augmented_20_10649.jpg,./augmented\augmented_20_10649.jpg,20
augmented_25_10649.jpg,./augmented\augmented_25_10649.jpg,25
augmented_30_10649.jpg,./augmented\augmented_30_10649.jpg,30
augmented_35_10649.jpg,./augmented\augmented_35_10649.jpg,35
augmented_40_10649.jpg,./augmented\augmented_40_10649.jpg,40
augmented_45_10649.jpg,./augmented\augmented_45_10649.jpg,45
augmented_50_10649.jpg,./augmented\augmented_50_10649.jpg,50
augmented_55_10649.jpg,./augmented\augmented_55_10649.jpg,55
augmented_60_10649.jpg,./augmented\augmented_60_10649.jpg,60
augmented_65_10649.jpg,./augmented\augmented_65_10649.jpg,65
augmented_70_10649.jpg,./augmented\augmented_70_10649.jpg,70
augmented_75_10649.jpg,./augmented\augmented_75_10649.jpg,75
augmented_80_10649.jpg,./augmented\augmented_80_10649.jpg,80
augmented_85_10649.jpg,./augmented\augmented_85_10649.jpg,85
augmented_90_10649.jpg,./augmented\augmented_90_10649.jpg,90
augmented_-90_10671.jpg,./augmented\augmented_-90_10671.jpg,-90
augmented_-85_10671.jpg,./augmented\augmented_-85_10671.jpg,-85
augmented_-80_10671.jpg,./augmented\augmented_-80_10671.jpg,-80
augmented_-75_10671.jpg,./augmented\augmented_-75_10671.jpg,-75
augmented_-70_10671.jpg,./augmented\augmented_-70_10671.jpg,-70
augmented_-65_10671.jpg,./augmented\augmented_-65_10671.jpg,-65
augmented_-60_10671.jpg,./augmented\augmented_-60_10671.jpg,-60
augmented_-55_10671.jpg,./augmented\augmented_-55_10671.jpg,-55
augmented_-50_10671.jpg,./augmented\augmented_-50_10671.jpg,-50
augmented_-45_10671.jpg,./augmented\augmented_-45_10671.jpg,-45
augmented_-40_10671.jpg,./augmented\augmented_-40_10671.jpg,-40
augmented_-35_10671.jpg,./augmented\augmented_-35_10671.jpg,-35
augmented_-30_10671.jpg,./augmented\augmented_-30_10671.jpg,-30
augmented_-25_10671.jpg,./augmented\augmented_-25_10671.jpg,-25
augmented_-20_10671.jpg,./augmented\augmented_-20_10671.jpg,-20
